"id","date","price","bedrooms","bathrooms","sqft_lot","sqft_living","lat","long"
"36555","20141013T000000","3.68","1","1","35","37","-70.60306","-33.41664"
"36556","20141013T000000","3.68","2","2","60","66","-70.65928","-33.48238"
"36559","20141013T000000","5.51","1","1","15","15","-70.65887","-33.43441"
"36560","20141013T000000","5.55","3","2","65","80","-70.2914","-33.3353"
"36562","20141013T000000","6.45","1","1","30","30","-70.5569","-33.5757"
"36563","20141013T000000","6.62","1","1","30","30","-70.57604","-33.55074"
"36564","20141013T000000","6.99","1","1","37","37","-70.69583","-33.45384"
"36565","20141013T000000","7.17","1","1","18","18","-70.63131","-33.44108"
"36566","20141013T000000","7.17","2","1","35","35","-70.60249","-33.50432"
"36567","20141013T000000","7.17","3","2","70","76","-70.631","-33.45314"
"36568","20141013T000000","7.17","3","2","70","76","-70.631","-33.45314"
"36569","20141013T000000","7.35","1","2","66","66","-70.29247","-33.33571"
"36570","20141013T000000","7.35","1","1","20","20","-70.642","-33.46912"
"36571","20141013T000000","7.35","3","2","70","80","-70.28927","-33.3356"
"36572","20141013T000000","7.35","1","1","30","30","-70.70123","-33.45595"
"36573","20141013T000000","7.35","1","1","25","25","-70.62956","-33.45735"
"36576","20141013T000000","7.37","1","1","22","22","-70.69059","-33.45718"
"36579","20141013T000000","7.54","1","1","25","25","-70.66214","-33.40396"
"36580","20141013T000000","7.54","1","1","26","26","-70.66214","-33.40396"
"36581","20141013T000000","7.72","1","1","29","29","-70.63944","-33.44763"
"36577","20141013T000000","7.51","1","1","30","32","-70.66311","-33.40702"
"36578","20141013T000000","7.53","1","1","22","22","-70.68544","-33.45183"
"36582","20141013T000000","7.72","1","1","34","34","-70.66214","-33.40396"
"36583","20141013T000000","7.72","1","1","28","28","-70.66214","-33.40396"
"36584","20141013T000000","7.72","1","1","30","30","-70.65519","-33.42268"
"36585","20141013T000000","7.72","1","1","20","20","-70.64255","-33.43653"
"36586","20141013T000000","7.72","1","1","23","23","-70.65189","-33.50446"
"36587","20141013T000000","7.72","1","1","28","28","-70.62956","-33.45735"
"36588","20141013T000000","7.72","1","1","23","23","-70.6613","-33.49068"
"36589","20141013T000000","7.72","1","1","45","45","-70.67748","-33.43247"
"36590","20141013T000000","7.72","1","1","23","23","-70.6924","-33.43931"
"36591","20141013T000000","7.72","1","1","22","22","-70.66214","-33.40396"
"36592","20141013T000000","7.72","1","1","22","22","-70.66214","-33.40396"
"36593","20141013T000000","7.72","1","1","22","22","-70.66214","-33.40396"
"36594","20141013T000000","7.72","1","1","40","40","-70.65122","-33.46257"
"36595","20141013T000000","7.73","1","1","25","25","-70.64602","-33.45214"
"36596","20141013T000000","7.74","1","1","22","22","-70.69132","-33.45623"
"36597","20141013T000000","7.74","1","1","20","20","-70.66214","-33.40396"
"36598","20141013T000000","7.74","1","1","18","18","-70.64791","-33.47096"
"36599","20141013T000000","7.8","1","1","17","17","-70.64791","-33.47096"
"36601","20141013T000000","7.88","1","1","30","32","-70.65859","-33.42089"
"36602","20141013T000000","7.93","1","1","18","18","-70.648","-33.471"
"36603","20141013T000000","7.96","1","1","22","22","-70.6618","-33.43249"
"36604","20141013T000000","8.09","1","1","24","24","-70.63204","-33.44927"
"36605","20141013T000000","8.09","1","1","26","28","-70.6508","-33.4516"
"36606","20141013T000000","8.09","1","1","45","45","-70.65457","-33.43768"
"36607","20141013T000000","8.09","1","1","30","30","-70.6613","-33.49068"
"36609","20141013T000000","8.09","1","1","35","35","-70.66629","-33.41335"
"36611","20141013T000000","8.09","1","1","29","29","-70.66491","-33.41824"
"36612","20141013T000000","8.09","1","1","22","22","-70.69264","-33.4545"
"36613","20141013T000000","8.09","1","1","19","19","-70.69268","-33.45447"
"36614","20141013T000000","8.09","1","1","30","30","-70.66216","-33.40388"
"36615","20141013T000000","8.09","1","1","28","32","-70.61582","-33.49062"
"36618","20141013T000000","8.09","1","1","30","32","-70.66491","-33.41824"
"36619","20141013T000000","8.09","1","1","25","25","-70.66214","-33.40396"
"36620","20141013T000000","8.09","3","1","35","35","-70.68636","-33.59209"
"36621","20141013T000000","8.1","1","1","25","50","-70.66207","-33.40384"
"36622","20141013T000000","8.1","1","1","25","50","-70.66207","-33.40384"
"36623","20141013T000000","8.2","1","1","30","30","-70.69068","-33.45708"
"36624","20141013T000000","8.3","1","1","35","35","-70.7057","-33.45755"
"36626","20141013T000000","8.45","1","1","28","28","-70.64711","-33.43803"
"36628","20141013T000000","8.45","1","1","24","24","-70.65917","-33.44334"
"36629","20141013T000000","8.45","1","1","32","32","-70.69055","-33.45726"
"36608","20141013T000000","8.09","1","1","30","30","-70.699","-33.42671"
"36610","20141013T000000","8.09","1","1","45","45","-70.65676","-33.43808"
"36616","20141013T000000","8.09","1","1","30","30","-70.66073","-33.40094"
"36617","20141013T000000","8.09","1","1","25","25","-70.66214","-33.40396"
"36625","20141013T000000","8.34","1","1","24","24","-70.66291","-33.43177"
"36627","20141013T000000","8.45","1","1","30","30","-70.66572","-33.4172"
"36630","20141013T000000","8.45","1","1","30","32","-70.69106","-33.45158"
"36631","20141013T000000","8.45","1","1","30","30","-70.65892","-33.43376"
"36632","20141013T000000","8.45","1","1","50","50","-70.67217","-33.44627"
"36633","20141013T000000","8.45","1","1","30","33","-70.64257","-33.44768"
"36634","20141013T000000","8.45","1","1","17","17","-70.6485","-33.4494"
"36635","20141013T000000","8.46","2","1","40","40","-70.60164","-33.50445"
"36636","20141013T000000","8.46","1","1","30","30","-70.65892","-33.43376"
"36637","20141013T000000","8.46","1","1","27","28","-70.64888","-33.44707"
"36638","20141013T000000","8.46","1","1","30","30","-70.65892","-33.43376"
"36639","20141013T000000","8.46","1","1","28","28","-70.63944","-33.44343"
"36640","20141013T000000","8.46","1","1","33","33","-70.6885","-33.43899"
"36641","20141013T000000","8.46","1","1","28","28","-70.67664","-33.43549"
"36642","20141013T000000","8.46","1","1","30","30","-70.6631","-33.4078"
"36643","20141013T000000","8.5","1","1","30","30","-70.70566","-33.45335"
"36644","20141013T000000","8.52","1","1","39","39","-70.6594","-33.41038"
"36645","20141013T000000","8.6","1","1","35","36","-70.70458","-33.45391"
"36646","20141013T000000","8.64","1","1","30","30","-70.6657","-33.41826"
"36647","20141013T000000","8.64","1","1","28","30","-70.6887","-33.4556"
"36648","20141013T000000","8.64","2","1","45","45","-70.67751","-33.43222"
"36649","20141013T000000","8.64","1","1","36","36","-70.65122","-33.46284"
"36650","20141013T000000","8.64","1","1","29","29","-70.70573","-33.45419"
"36651","20141013T000000","8.64","1","1","29","29","-70.699","-33.45908"
"36652","20141013T000000","8.64","1","1","29","29","-70.70573","-33.45419"
"36653","20141013T000000","8.64","1","1","30","30","-70.70553","-33.45663"
"36654","20141013T000000","8.64","1","1","29","29","-70.70573","-33.45419"
"36655","20141013T000000","8.64","1","1","23","25","-70.70557","-33.45524"
"36656","20141013T000000","8.64","1","1","28","31","-70.68869","-33.45552"
"36657","20141013T000000","8.64","1","1","27","27","-70.68823","-33.4565"
